TF	inferred_activity	p_val	p_val_adj	inferred_DA
SOX2	5.59569931030273	2.23457758742486e-08	1.36309232832916e-05	TRUE
NR2C1	4.92512321472168	8.51766058497894e-07	0.000259788647841858	TRUE
PHOX2B	-4.77001857757568	1.85887606504029e-06	0.000377971466558193	TRUE
MYC	4.65039920806885	3.34030677889289e-06	0.000509396783781165	TRUE
HOXB3	3.99150228500366	6.59586683337729e-05	0.00723993486764501	TRUE
SIX3	3.97327423095703	7.12124741079837e-05	0.00723993486764501	TRUE
SP1	3.91524648666382	9.06988231619908e-05	0.00790375458983063	TRUE
MEIS1	3.82679605484009	0.000130332182515982	0.00993782891684365	TRUE
FOXN4	3.6959240436554	0.000219843726356291	0.0149005192308153	TRUE
PROX1	3.59471392631531	0.000325756943872334	0.0197958803311703	TRUE
STAT1	3.57079696655273	0.000356974891217825	0.0197958803311703	TRUE
TLX1	3.53494453430176	0.000409050615521225	0.0207934062889956	TRUE
ZNF382	-3.45702910423279	0.00054763200513747	0.0256965787026044	TRUE
PTF1A	3.42027592658997	0.000627190262916593	0.0273275757413658	TRUE
USF1	3.37360262870789	0.00074373240452904	0.0297208720053154	TRUE
ELK3	3.3606173992157	0.000779563855877124	0.0297208720053154	TRUE
TFDP2	3.34102058410645	0.000836683960560183	0.0300221891730419	TRUE
NR4A3	3.29154849052429	0.000998603515070278	0.0338415635662705	TRUE
PBX1	3.17648124694824	0.00149365870177131	0.0479543056884473	TRUE
KLF4	3.13668775558472	0.00171187995137369	0.0495898841002562	TRUE
MYOD1	3.12382030487061	0.00178848762328793	0.0495898841002562	TRUE
KAT5	3.12591624259949	0.00177579814628741	0.0495898841002562	TRUE
NANOG	3.03934860229492	0.00237485874364705	0.0624847930457315	TRUE
YBX1	3.02891039848328	0.00245841808704517	0.0624847930457315	TRUE
TCF12	2.97472500801086	0.00293703596546208	0.0716636775572748	TRUE
ASCL1	2.94192433357239	0.00326662781924014	0.0766401142206341	TRUE
SREBF1	-2.90084743499756	0.00372678816714995	0.0841978067393137	TRUE
ESRRB	2.87402200698853	0.00405832231352983	0.0875556221010837	TRUE
DBP	2.86600470542908	0.00416248039496955	0.0875556221010837	TRUE
HOXD13	-2.83343291282654	0.00461104935308157	0.0878981282931175	TRUE
MAF	2.84837460517883	0.00440010538801985	0.0878981282931175	TRUE
KMT2A	2.83890151977539	0.00453280452239941	0.0878981282931175	TRUE
TBX18	-2.78858876228333	0.00530028295885987	0.0979749274213491	TRUE
SMAD1	2.77738189697266	0.00548646482960099	0.0984336337075471	TRUE
LMX1B	2.75215268135071	0.00592738050685795	0.103305774548096	FALSE
MYB	2.64653515815735	0.00814032939465201	0.134205430560479	FALSE
SKIL	-2.64705538749695	0.00812782268059159	0.134205430560479	FALSE
GATA2	2.62962317466736	0.00855640516238481	0.137352819711967	FALSE
PURA	-2.55351257324219	0.010673738071018	0.159460902453522	FALSE
WT1	2.5293915271759	0.0114358857274832	0.159460902453522	FALSE
HOXA5	2.55093431472778	0.0107529887314349	0.159460902453522	FALSE
HES1	2.53474831581116	0.011262574962017	0.159460902453522	FALSE
ETV3	-2.54406023025513	0.0109668475583092	0.159460902453522	FALSE
HDAC3	-2.52736401557922	0.0115020978818934	0.159460902453522	FALSE
SALL3	2.50577998161316	0.0122283379870342	0.162534629534216	FALSE
PLAGL1	2.50496006011963	0.012256709768154	0.162534629534216	FALSE
KCNIP3	2.49688816070557	0.0125391507535842	0.162742169355029	FALSE
ZBTB16	2.47748398780823	0.0132418211117114	0.164164210799132	FALSE
FOXC2	2.47174835205078	0.0134560828523878	0.164164210799132	FALSE
FOSB	2.4816997051239	0.013086266771967	0.164164210799132	FALSE
FEZF1	2.43256402015686	0.0150035885804757	0.173889896875726	FALSE
SOX4	2.43003940582275	0.0151084664498582	0.173889896875726	FALSE
JUND	2.43667507171631	0.0148341789497329	0.173889896875726	FALSE
FOXP2	-2.41144275665283	0.0159011075637196	0.179623622479054	FALSE
TBPL1	2.38281178474426	0.0171929654778455	0.185792909990077	FALSE
RARA	2.38569402694702	0.0170588736257024	0.185792909990077	FALSE
POU3F2	2.37433099746704	0.0175928988879394	0.185792909990077	FALSE
PKNOX1	2.3728084564209	0.0176655553761057	0.185792909990077	FALSE
ETS1	2.35418701171875	0.0185756880692967	0.192053724106288	FALSE
HMGA2	2.3322868347168	0.0196983545245484	0.193806391289911	FALSE
IRF1	2.33766579627991	0.0194172588611663	0.193806391289911	FALSE
NKX2-1	2.33650708198547	0.0194775133892543	0.193806391289911	FALSE
ABL1	2.32493901252747	0.0200880798251712	0.194503630053245	FALSE
PAX6	2.30946826934814	0.0209307011643784	0.199495745472981	FALSE
E2F1	2.30170702934265	0.021364906691368	0.200501432026685	FALSE
EPAS1	2.28916692733765	0.0220830505757948	0.204100921988406	FALSE
ZNF335	2.26563668251038	0.0234873841931851	0.213840363549894	FALSE
EP300	2.23979926109314	0.0251180890931132	0.225324034511751	FALSE
E2F4	2.21779465675354	0.0265832926934546	0.235011718014599	FALSE
SMARCA1	2.19815039634705	0.0279531339684184	0.243591596010503	FALSE
TP63	2.19098043441772	0.028468056525989	0.244584710997933	FALSE
HESX1	-2.1740734577179	0.0297147118014205	0.248301016422829	FALSE
FOXP1	2.17726063728333	0.0294761732295908	0.248301016422829	FALSE
SMARCA4	2.16513228416443	0.0303927776056634	0.250535058641279	FALSE
GFI1B	-2.14030003547668	0.0323461017067512	0.25624833819634	FALSE
RUNX2	2.14351630210876	0.0320871926426878	0.25624833819634	FALSE
