"","uniprot_gn_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","external_gene_name","lead_protein_name"
"1","A0A075B6P5",0.555067533040665,13.2973873881098,1.4598474060374,0.167642309120269,0.308856770580294,-5.17964769071277,"IGKV2-28","IGKV2-28"
"2","A0A075B6R2",-0.0901729172024286,14.9311715140912,-0.218707210356538,0.829067895157225,0.901236669463645,-6.36690636796749,"IGHV4-4","IGHV4-4"
"3","A0A075B6R9",1.18052076119804,12.7973461029057,1.18689330604921,0.264873469776672,0.426026037859441,-5.26671442754223,"IGKV2D-24","IGKV2D-24"
"4","A0A087WSY6",0.234688373801653,12.9025815467133,0.748529257551159,0.464228749264227,0.61732183218958,-6.0939459685011,"IGKV3D-15","IGKV3D-15"
"5","A0A0A0MRZ8",0.429313439774164,13.3945118070155,1.4166620839637,0.171786619951079,0.314341602356567,-5.41618947708073,"IGKV3D-11","IGKV3D-11"
"6","A0A0A0MT89",-0.759818609662004,12.1483297105726,-1.69406302283615,0.123604667589988,0.250198467664178,-4.67628824643492,NA,"IGKJ1"
"7","A0A0B4J1Y8",0.332406318071092,12.4732212396816,0.890469095052726,0.390375311120102,0.551044821576553,-5.64882128599716,"IGLV9-49","IGLV9-49"
"8","A0A0B4J2D5",-0.746526978319412,16.0124996711322,-2.19937798848456,0.039629451078294,0.112805523887387,-4.18503820220463,NA,"GATD3B"
"9","A0A0B4J2H0",1.37530606425832,12.918143123864,2.73077348009052,0.0207372981014375,0.0721611373260134,-3.09679610243821,"IGHV1-69D","IGHV1-69D"
"10","A0A0C4DH25",-0.364849091178069,17.2584236950979,-0.87654973746856,0.391014181929282,0.551569538344335,-6.00669392765999,"IGKV3D-20","IGKV3D-20"
"11","A0A0C4DH31",0.159673271377157,13.271224390051,0.542634068567947,0.595226617777571,0.725611822577106,-6.08595394973157,"IGHV1-18","IGHV1-18"
"12","A0A0C4DH38",0.0952062233182378,14.450202062502,0.211814846698257,0.834599723981129,0.904393052893477,-6.34382508343681,"IGHV5-51","IGHV5-51"
"13","A0A0C4DH67",0.690139108764313,12.9445814804634,1.81934894553082,0.0836808546196947,0.192117600994614,-4.8304157932922,"IGKV1-8","IGKV1-8"
"14","A0A0C4DH73",0.606999467025965,13.1946525045925,0.976607563844419,0.343083932534485,0.506341488625044,-5.78380387245925,"IGKV1-12","IGKV1-12"
"15","A0AVT1",-0.947674551271701,14.0474513727382,-4.51981232490179,0.000203333561055875,0.00441911606028101,0.728608559602742,"UBA6","UBA6"
"16","A0FGR8",-0.714530760461125,15.3921412589367,-4.19631574568832,0.000434626692800746,0.00668009363575142,0.00516828697345417,NA,"ESYT2"
"17","A0JNW5",-0.850806805060007,12.8266834904466,-3.0209269681724,0.00695698277221524,0.0349769085155042,-2.58648414149507,"BLTP3B","UHRF1BP1L"
"18","A0MZ66",-0.270724936266934,13.797917268199,-1.03287488336952,0.313844427480212,0.475642863668322,-5.86117163523953,"SHTN1","SHTN1"
"19","A0PK00",-0.0496741708870321,12.9548381634669,-0.271939763155889,0.7885643955025,0.873144058945743,-6.35169492185628,"TMEM120B","TMEM120B"
"20","A1A5C7",-0.204086630974604,14.1549034776424,-0.843173353058436,0.408983742630179,0.569435280224315,-6.03492069190505,"SLC22A23","SLC22A23"
"21","A1IGU5",-0.513747116670132,13.7283760872444,-3.08737536805929,0.00599810183935363,0.0322222400632753,-2.4486119023469,"ARHGEF37","ARHGEF37"
"22","A1L0T0",0.453868646458456,14.8321873669091,3.40647793440446,0.00276284573763051,0.0194245930747825,-1.74457066622797,"ILVBL","ILVBL"
"23","A1L390",-0.0144999946020921,12.1345033572085,-0.0477947048572896,0.962543513741566,0.981398275574528,-6.38400355168004,"PLEKHG3","PLEKHG3"
"24","A1L4H1",0.196538577334893,12.4723673122435,0.262763963270304,0.796494840704945,0.878939790366369,-6.32734272821286,"SSC5D","SSC5D"
"25","A1X283",0.149541199612948,13.2427670851956,0.540275735544936,0.595204858526974,0.725611822577106,-6.23314612659647,"SH3PXD2B","SH3PXD2B"
"26","A1Z1Q3",0.446581497406445,13.2363866887681,2.29453622644422,0.0325765452310899,0.0985349087919603,-4.01159594952661,"MACROD2","MACROD2"
