"logFC","AveExpr","t","P.Value","adj.P.Val","B","external_gene_name"
-0.90827669441844,17.2377490636298,-20.337009561485,5.29262640706652e-11,8.6323282712418e-08,15.559936701884,"CORO7-PAM16"
-1.6434627699466,15.6976976406859,-19.9809433381769,6.56905686209917e-11,8.6323282712418e-08,15.3655573444939,"KALRN"
-1.35065339281048,15.9568404894921,-19.6780952468295,7.91699229157292e-11,8.6323282712418e-08,15.1967789560594,"SYT7"
-1.28269275760901,16.0720520668874,-19.5575108077068,8.53418514210756e-11,8.6323282712418e-08,15.1286735248559,"HDAC6"
-1.05162571290809,18.0884612200173,-17.1829925570279,4.11832999949404e-10,3.22179293736904e-07,13.6734456807485,"TARDBP"
-0.7504353972781,17.075727589521,-16.8324783186105,5.28422657804417e-10,3.22179293736904e-07,13.4385458890249,"SLC17A6"
-1.70169803821691,15.0412087718029,-16.7582637034375,5.57403622382187e-10,3.22179293736904e-07,13.3880871726884,"ACTL6B"
-1.18238619299749,15.8079182857942,-16.2858473327147,7.87095957056528e-10,3.98073780281339e-07,13.0607882939751,"ATP8A1"
-1.30933815780761,16.6431486637947,-15.7081319892071,1.21560769577663e-09,5.46483193012474e-07,12.6456538582725,"STMN2"
1.11939020084303,18.4625119702171,15.4865127051877,1.44174734492402e-09,5.83330975756259e-07,12.4818674391847,"CRABP1"
-0.942956680319412,17.7615573053653,-14.5869562488305,2.95016158334032e-09,1.06290037863831e-06,11.7896748172989,"CADPS"
-0.828384974850545,15.1052211521886,-14.5060631550553,3.1524479840978e-09,1.06290037863831e-06,11.72518330447,"SYT5"
-0.765472789686843,17.1173875066055,-14.0017746141012,4.80291602249163e-09,1.49481524823086e-06,11.314333817913,"TMEM30A"
-0.585690402627169,16.9596943713805,-13.6715672395421,6.37437194872176e-09,1.84219349318059e-06,11.0368062683246,"DNM3"
1.18060297919109,15.692231444681,13.3231287889643,8.65032547422314e-09,2.30127398774204e-06,10.736334573252,"NAT14"
-2.22695794345316,14.1566562533535,-13.26599998288,9.10044088083852e-09,2.30127398774204e-06,10.6863027748504,"MADD"
-0.941693663214263,17.521692448961,-13.1921183996616,9.72022207647261e-09,2.31341285420048e-06,10.6212729513008,"CAMK2B"
-0.58192060207848,17.4950136029914,-12.6992923421903,1.52125386218913e-08,3.29476159220012e-06,10.1778479861128,"HMGCS1"
-0.975130860592783,14.982619402789,-12.6809891775789,1.54721874077613e-08,3.29476159220012e-06,10.1610492084643,"USP24"
0.881888106981974,16.1371317980799,12.6137684355422,1.6467383840621e-08,3.33135175095763e-06,10.0991460023032,"ACTL6A"
-1.16828579592129,15.7580207622079,-12.2361806547608,2.3498983953808e-08,4.34953060712858e-06,9.74525515901062,"RAB3C"
-1.0490088793751,14.4498062646644,-12.2294487736862,2.36504382987713e-08,4.34953060712858e-06,9.73884900486623,"PPM1H"
-0.610728064103323,17.1641021366513,-12.1656937232267,2.51378771942708e-08,4.42208048382694e-06,9.678007775784,"KIF21A"
-0.71476199028964,15.1832679192527,-11.9424780947087,3.11899844598428e-08,5.25811154685517e-06,9.46252799910297,"PTPN9"
-0.687111727343861,16.2051023935487,-11.5970953119609,4.38478209675353e-08,7.09633134538591e-06,9.1213643328988,"ASMTL"
-0.600986679569417,16.9854354293296,-11.5277483727814,4.69999648112726e-08,7.31391760101572e-06,9.05170053318306,"EPB41L1"
-0.582137079718088,18.4886888643328,-11.3786508844961,5.46309118277855e-08,8.1865433057489e-06,8.90057385287859,"SYT1"
-0.438214031931668,19.403878667538,-11.1110014335343,7.18701361988538e-08,1.00639839362751e-05,8.6245748435041,"ELAVL3"
-0.972100571993424,15.3751987053848,-11.1074563125457,7.2134338643593e-08,1.00639839362751e-05,8.62087787241414,"GABARAP"
-0.430227085160052,18.7010917858665,-11.054663270358,7.61944457846741e-08,1.0276090921493e-05,8.56569421880359,"SV2A"
-0.710374584196085,18.0244040305006,-10.9778235061741,8.25477146800622e-08,1.0773808180501e-05,8.48493959281986,"FH"
-0.553056428769057,19.0910302542976,-10.8000506765804,9.95290336159825e-08,1.25842021878208e-05,8.29610663555133,"RALY"
-1.18315779817472,14.1830799432253,-10.7045159329449,1.10170350044131e-07,1.32040196514093e-05,8.19345641719976,"ATG4B"
0.734880239816205,14.65000650753,10.6978406061835,1.10958148331171e-07,1.32040196514093e-05,8.18625294220818,"PREX1"
-1.0821467035072,14.4278916833821,-10.6534033601239,1.16358781821913e-07,1.34510751786131e-05,8.13819614743696,"MICAL1"
-0.433942209823673,18.4744933867622,-10.6018043498171,1.22985473320829e-07,1.38222006960021e-05,8.08216705957001,"FASN"
-0.51881125270423,16.1472018293099,-10.3668453453172,1.58710073980286e-07,1.73551610628172e-05,7.82390708885952,"SYN1"
-0.416904327920506,22.0125864195444,-10.3213012426881,1.66842415874354e-07,1.77643267007273e-05,7.77324476181833,"CRMP1"
-0.623891550343643,17.4169501426869,-10.2971337605301,1.71338000625344e-07,1.77752192443626e-05,7.7462810322407,"RHOB"
-0.473238773258828,17.5497343991643,-10.2028538814239,1.90155838297256e-07,1.92342630437675e-05,7.64055678303543,"SLC25A1"
-0.417641032285715,19.0889068945754,-10.1446461169722,2.02870009406494e-07,2.0019806294114e-05,7.57485433011496,"MYO5A"
-1.08858414531125,14.3697106246109,-9.97249340645467,2.46098187852372e-07,2.37074587631118e-05,7.37859355384742,"RAB3B"
